
2024/12/03 (17:55:32) | ===> btop++ v.1.3.0
2024/12/03 (17:55:32) | ERROR: Stall in Runner thread, restarting!
2024/12/03 (18:02:40) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (01:11:13) | ===> btop++ v.1.3.0
2025/02/12 (01:11:13) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/04/15 (01:05:16) | ===> btop++ v.1.3.0
2025/04/15 (01:05:16) | WARNING: Error in Mem::collect() : Resource temporarily unavailable
2025/04/15 (01:05:16) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:17) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:17) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:17) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:17) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:17) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:17) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:17) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:17) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:17) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:17) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:18) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:18) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:18) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:18) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:18) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:18) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:18) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:18) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:18) | WARNING: Error in Mem::collect() : std::future_error: No associated state
